Sample;Treatment;Replicate;Time;Name
1;Axenic;1;t2;Axenic_1_R1
2;Axenic;2;t2;Axenic_2_R1
3;Axenic;3;t2;Axenic_3_R1
4;Axenic;4;t2;Axenic_4_R1
5;Axenic;5;t2;Axenic_5_R1
6;Axenic;6;t2;Axenic_6_R1
7;Axenic;7;t2;Axenic_7_R1
8;Axenic;8;t2;Axenic_8_R1
9;ALL;1;t2;ALL_1_R1
10;ALL;2;t2;ALL_2_R1
11;ALL;3;t2;ALL_3_R1
12;ALL;4;t2;ALL_4_R1
13;ALL;5;t2;ALL_5_R1
14;ALL;6;t2;ALL_6_R1
15;ALL;7;t2;ALL_7_R1
16;ALL;8;t2;ALL_8_R1
17;ALL;9;t2;ALL_9_R1
18;ALL;10;t2;ALL_10_R1
19;ALL;11;t2;ALL_11_R1
20;ALL;12;t2;ALL_12_R1
21;-33;1;t2;-33_1_R1
22;-33;2;t2;-33_2_R1
23;-33;3;t2;-33_3_R1
24;-33;4;t2;-33_4_R1
25;-33;5;t2;-33_5_R1
26;-33;6;t2;-33_6_R1
27;-33;7;t2;-33_7_R1
28;-33;8;t2;-33_8_R1
29;-33;9;t2;-33_9_R1
30;-33;10;t2;-33_10_R1
31;-33;11;t2;-33_11_R1
32;-33;12;t2;-33_12_R1
33;-61;1;t2;-61_1_R1
34;-61;2;t2;-61_2_R1
35;-61;3;t2;-61_3_R1
36;-61;4;t2;-61_4_R1
37;-61;5;t2;-61_5_R1
38;-61;6;t2;-61_6_R1
39;-61;7;t2;-61_7_R1
40;-61;8;t2;-61_8_R1
41;-61;9;t2;-61_9_R1
42;-61;10;t2;-61_10_R1
43;-61;11;t2;-61_11_R1
44;-61;12;t2;-61_12_R1
45;-68;1;t2;-68_1_R1
46;-68;2;t2;-68_2_R1
47;-68;3;t2;-68_3_R1
48;-68;4;t2;-68_4_R1
49;-68;5;t2;-68_5_R1
50;-68;6;t2;-68_6_R1
51;-68;7;t2;-68_7_R1
52;-68;8;t2;-68_8_R1
53;-68;9;t2;-68_9_R1
54;-68;10;t2;-68_10_R1
55;-68;11;t2;-68_11_R1
56;-68;12;t2;-68_12_R1
57;-83;1;t2;-83_1_R1
58;-83;2;t2;-83_2_R1
59;-83;3;t2;-83_3_R1
60;-83;4;t2;-83_4_R1
61;-83;5;t2;-83_5_R1
62;-83;6;t2;-83_6_R1
63;-83;7;t2;-83_7_R1
64;-83;8;t2;-83_8_R1
65;-83;9;t2;-83_9_R1
66;-83;10;t2;-83_10_R1
67;-83;11;t2;-83_11_R1
68;-83;12;t2;-83_12_R1
69;-86;1;t2;-86_1_R1
70;-86;2;t2;-86_2_R1
71;-86;3;t2;-86_3_R1
72;-86;4;t2;-86_4_R1
74;-86;6;t2;-86_6_R1
75;-86;7;t2;-86_7_R1
76;-86;8;t2;-86_8_R1
77;-86;9;t2;-86_9_R1
78;-86;10;t2;-86_10_R1
79;-86;11;t2;-86_11_R1
80;-86;12;t2;-86_12_R1
81;-88;1;t2;-88_1_R1
82;-88;2;t2;-88_2_R1
83;-88;3;t2;-88_3_R1
84;-88;4;t2;-88_4_R1
85;-88;5;t2;-88_5_R1
86;-88;6;t2;-88_6_R1
87;-88;7;t2;-88_7_R1
88;-88;8;t2;-88_8_R1
89;-88;9;t2;-88_9_R1
90;-88;10;t2;-88_10_R1
91;-88;11;t2;-88_11_R1
92;-88;12;t2;-88_12_R1
93;-90;1;t2;-90_1_R1
94;-90;2;t2;-90_2_R1
95;-90;3;t2;-90_3_R1
96;-90;4;t2;-90_4_R1
97;-90;5;t2;-90_5_R1
98;-90;6;t2;-90_6_R1
99;-90;7;t2;-90_7_R1
100;-90;8;t2;-90_8_R1
101;-90;9;t2;-90_9_R1
102;-90;10;t2;-90_10_R1
103;-90;11;t2;-90_11_R1
104;-90;12;t2;-90_12_R1
105;-145;1;t2;-145_1_R1
106;-145;2;t2;-145_2_R1
107;-145;3;t2;-145_3_R1
108;-145;4;t2;-145_4_R1
109;-145;5;t2;-145_5_R1
110;-145;6;t2;-145_6_R1
111;-145;7;t2;-145_7_R1
112;-145;8;t2;-145_8_R1
113;-145;9;t2;-145_9_R1
114;-145;10;t2;-145_10_R1
115;-145;11;t2;-145_11_R1
116;-145;12;t2;-145_12_R1
117;-160;1;t2;-160_1_R1
118;-160;2;t2;-160_2_R1
119;-160;3;t2;-160_3_R1
120;-160;4;t2;-160_4_R1
121;-160;5;t2;-160_5_R1
122;-160;6;t2;-160_6_R1
123;-160;7;t2;-160_7_R1
124;-160;8;t2;-160_8_R1
125;-160;9;t2;-160_9_R1
126;-160;10;t2;-160_10_R1
127;-160;11;t2;-160_11_R1
128;-160;12;t2;-160_12_R1
129;-203;1;t2;-203_1_R1
130;-203;2;t2;-203_2_R1
131;-203;3;t2;-203_3_R1
132;-203;4;t2;-203_4_R1
133;-203;5;t2;-203_5_R1
134;-203;6;t2;-203_6_R1
135;-203;7;t2;-203_7_R1
136;-203;8;t2;-203_8_R1
137;-203;9;t2;-203_9_R1
138;-203;10;t2;-203_10_R1
139;-203;11;t2;-203_11_R1
140;-203;12;t2;-203_12_R1
141;-231;1;t2;-231_1_R1
142;-231;2;t2;-231_2_R1
143;-231;3;t2;-231_3_R1
144;-231;4;t2;-231_4_R1
145;-231;5;t2;-231_5_R1
146;-231;6;t2;-231_6_R1
147;-231;7;t2;-231_7_R1
148;-231;8;t2;-231_8_R1
149;-231;9;t2;-231_9_R1
150;-231;10;t2;-231_10_R1
151;-231;11;t2;-231_11_R1
152;-231;12;t2;-231_12_R1
153;-233;1;t2;-233_1_R1
154;-233;2;t2;-233_2_R1
155;-233;3;t2;-233_3_R1
156;-233;4;t2;-233_4_R1
157;-233;5;t2;-233_5_R1
158;-233;6;t2;-233_6_R1
159;-233;7;t2;-233_7_R1
160;-233;8;t2;-233_8_R1
161;-233;9;t2;-233_9_R1
162;-233;10;t2;-233_10_R1
163;-233;11;t2;-233_11_R1
164;-233;12;t2;-233_12_R1
165;-262;1;t2;-262_1_R1
166;-262;2;t2;-262_2_R1
167;-262;3;t2;-262_3_R1
168;-262;4;t2;-262_4_R1
169;-262;5;t2;-262_5_R1
170;-262;6;t2;-262_6_R1
171;-262;7;t2;-262_7_R1
172;-262;8;t2;-262_8_R1
173;-262;9;t2;-262_9_R1
174;-262;10;t2;-262_10_R1
175;-262;11;t2;-262_11_R1
176;-262;12;t2;-262_12_R1
177;-265;1;t2;-265_1_R1
178;-265;2;t2;-265_2_R1
179;-265;3;t2;-265_3_R1
180;-265;4;t2;-265_4_R1
181;-265;5;t2;-265_5_R1
182;-265;6;t2;-265_6_R1
183;-265;7;t2;-265_7_R1
184;-265;8;t2;-265_8_R1
185;-265;9;t2;-265_9_R1
186;-265;10;t2;-265_10_R1
187;-265;11;t2;-265_11_R1
188;-265;12;t2;-265_12_R1
189;-285;1;t2;-285_1_R1
190;-285;2;t2;-285_2_R1
191;-285;3;t2;-285_3_R1
192;-285;4;t2;-285_4_R1
193;-285;5;t2;-285_5_R1
194;-285;6;t2;-285_6_R1
195;-285;7;t2;-285_7_R1
196;-285;8;t2;-285_8_R1
197;-285;9;t2;-285_9_R1
198;-285;10;t2;-285_10_R1
199;-285;11;t2;-285_11_R1
200;-285;12;t2;-285_12_R1
201;-288;1;t2;-288_1_R1
202;-288;2;t2;-288_2_R1
203;-288;3;t2;-288_3_R1
204;-288;4;t2;-288_4_R1
205;-288;5;t2;-288_5_R1
206;-288;6;t2;-288_6_R1
207;-288;7;t2;-288_7_R1
208;-288;8;t2;-288_8_R1
209;-288;9;t2;-288_9_R1
210;-288;10;t2;-288_10_R1
211;-288;11;t2;-288_11_R1
212;-288;12;t2;-288_12_R1
213;-289;1;t2;-289_1_R1
214;-289;2;t2;-289_2_R1
215;-289;3;t2;-289_3_R1
216;-289;4;t2;-289_4_R1
217;-289;5;t2;-289_5_R1
218;-289;6;t2;-289_6_R1
219;-289;7;t2;-289_7_R1
220;-289;8;t2;-289_8_R1
221;-289;9;t2;-289_9_R1
222;-289;10;t2;-289_10_R1
223;-289;11;t2;-289_11_R1
224;-289;12;t2;-289_12_R1
225;-334;1;t2;-334_1_R1
226;-334;2;t2;-334_2_R1
227;-334;3;t2;-334_3_R1
228;-334;4;t2;-334_4_R1
229;-334;5;t2;-334_5_R1
230;-334;6;t2;-334_6_R1
231;-334;7;t2;-334_7_R1
232;-334;8;t2;-334_8_R1
233;-334;9;t2;-334_9_R1
234;-334;10;t2;-334_10_R1
235;-334;11;t2;-334_11_R1
236;-334;12;t2;-334_12_R1
237;-344;1;t2;-344_1_R1
238;-344;2;t2;-344_2_R1
239;-344;3;t2;-344_3_R1
240;-344;4;t2;-344_4_R1
241;-344;5;t2;-344_5_R1
242;-344;6;t2;-344_6_R1
243;-344;7;t2;-344_7_R1
244;-344;8;t2;-344_8_R1
245;-344;9;t2;-344_9_R1
246;-344;10;t2;-344_10_R1
247;-344;11;t2;-344_11_R1
248;-344;12;t2;-344_12_R1
249;-359;1;t2;-359_1_R1
250;-359;2;t2;-359_2_R1
251;-359;3;t2;-359_3_R1
252;-359;4;t2;-359_4_R1
253;-359;5;t2;-359_5_R1
254;-359;6;t2;-359_6_R1
255;-359;7;t2;-359_7_R1
256;-359;8;t2;-359_8_R1
257;-359;9;t2;-359_9_R1
258;-359;10;t2;-359_10_R1
259;-359;11;t2;-359_11_R1
260;-359;12;t2;-359_12_R1
261;-371;1;t2;-371_1_R1
262;-371;2;t2;-371_2_R1
263;-371;3;t2;-371_3_R1
264;-371;4;t2;-371_4_R1
265;-371;5;t2;-371_5_R1
266;-371;6;t2;-371_6_R1
267;-371;7;t2;-371_7_R1
268;-371;8;t2;-371_8_R1
269;-371;9;t2;-371_9_R1
270;-371;10;t2;-371_10_R1
271;-371;11;t2;-371_11_R1
272;-371;12;t2;-371_12_R1
273;-391;1;t2;-391_1_R1
274;-391;2;t2;-391_2_R1
275;-391;3;t2;-391_3_R1
276;-391;4;t2;-391_4_R1
277;-391;5;t2;-391_5_R1
278;-391;6;t2;-391_6_R1
279;-391;7;t2;-391_7_R1
280;-391;8;t2;-391_8_R1
281;-391;9;t2;-391_9_R1
282;-391;10;t2;-391_10_R1
283;-391;11;t2;-391_11_R1
284;-391;12;t2;-391_12_R1
285;-405;1;t2;-405_1_R1
286;-405;2;t2;-405_2_R1
287;-405;3;t2;-405_3_R1
288;-405;4;t2;-405_4_R1
289;-405;5;t2;-405_5_R1
290;-405;6;t2;-405_6_R1
291;-405;7;t2;-405_7_R1
292;-405;8;t2;-405_8_R1
293;-405;9;t2;-405_9_R1
294;-405;10;t2;-405_10_R1
295;-405;11;t2;-405_11_R1
296;-405;12;t2;-405_12_R1
297;-416;1;t2;-416_1_R1
298;-416;2;t2;-416_2_R1
299;-416;3;t2;-416_3_R1
300;-416;4;t2;-416_4_R1
301;-416;5;t2;-416_5_R1
302;-416;6;t2;-416_6_R1
303;-416;7;t2;-416_7_R1
304;-416;8;t2;-416_8_R1
305;-416;9;t2;-416_9_R1
306;-416;10;t2;-416_10_R1
307;-416;11;t2;-416_11_R1
308;-416;12;t2;-416_12_R1
309;-420;1;t2;-420_1_R1
310;-420;2;t2;-420_2_R1
311;-420;3;t2;-420_3_R1
312;-420;4;t2;-420_4_R1
313;-420;5;t2;-420_5_R1
314;-420;6;t2;-420_6_R1
315;-420;7;t2;-420_7_R1
316;-420;8;t2;-420_8_R1
317;-420;9;t2;-420_9_R1
318;-420;10;t2;-420_10_R1
319;-420;11;t2;-420_11_R1
320;-420;12;t2;-420_12_R1
641;-33;1;t0;-33_1_R1
642;-33;2;t0;-33_2_R1
643;-61;1;t0;-61_1_R1
644;-61;2;t0;-61_2_R1
645;-68;1;t0;-68_1_R1
646;-68;2;t0;-68_2_R1
647;-83;1;t0;-83_1_R1
648;-83;2;t0;-83_2_R1
649;-86;1;t0;-86_1_R1
650;-86;2;t0;-86_2_R1
651;-88;1;t0;-88_1_R1
652;-88;2;t0;-88_2_R1
653;-90;1;t0;-90_1_R1
654;-90;2;t0;-90_2_R1
655;-145;1;t0;-145_1_R1
656;-145;2;t0;-145_2_R1
657;-160;1;t0;-160_1_R1
658;-160;2;t0;-160_2_R1
659;-203;1;t0;-203_1_R1
660;-203;2;t0;-203_2_R1
661;-231;1;t0;-231_1_R1
662;-231;2;t0;-231_2_R1
663;-233;1;t0;-233_1_R1
664;-233;2;t0;-233_2_R1
665;-262;1;t0;-262_1_R1
666;-262;2;t0;-262_2_R1
667;-265;1;t0;-265_1_R1
668;-265;2;t0;-265_2_R1
669;-285;1;t0;-285_1_R1
670;-285;2;t0;-285_2_R1
671;-288;1;t0;-288_1_R1
672;-288;2;t0;-288_2_R1
673;-289;1;t0;-289_1_R1
674;-289;2;t0;-289_2_R1
675;-334;1;t0;-334_1_R1
676;-334;2;t0;-334_2_R1
677;-344;1;t0;-344_1_R1
678;-344;2;t0;-344_2_R1
679;-359;1;t0;-359_1_R1
680;-359;2;t0;-359_2_R1
681;-371;1;t0;-371_1_R1
682;-371;2;t0;-371_2_R1
683;-391;1;t0;-391_1_R1
684;-391;2;t0;-391_2_R1
685;-405;1;t0;-405_1_R1
686;-405;2;t0;-405_2_R1
687;-416;1;t0;-416_1_R1
688;-416;2;t0;-416_2_R1
689;-420;1;t0;-420_1_R1
690;-420;2;t0;-420_2_R1
691;ALL;1;t0;ALL_1_R1
692;ALL;2;t0;ALL_2_R1
693;CORE;1;t0;CORE_1_R1
694;CORE;2;t0;CORE_2_R1
